ds,y
5/8/2016,39
5/15/2016,37
5/22/2016,39
5/29/2016,35
6/5/2016,34
6/12/2016,35
6/19/2016,35
6/26/2016,37
7/3/2016,33
7/10/2016,36
7/17/2016,34
7/24/2016,32
7/31/2016,32
8/7/2016,33
8/14/2016,30
8/21/2016,34
8/28/2016,36
9/4/2016,32
9/11/2016,34
9/18/2016,34
9/25/2016,34
10/2/2016,35
10/9/2016,36
10/16/2016,40
10/23/2016,37
10/30/2016,35
11/6/2016,36
11/13/2016,36
11/20/2016,32
11/27/2016,38
12/4/2016,33
12/11/2016,33
12/18/2016,34
12/25/2016,31
1/1/2017,39
1/8/2017,43
1/15/2017,44
1/22/2017,43
1/29/2017,45
2/5/2017,44
2/12/2017,45
2/19/2017,47
2/26/2017,44
3/5/2017,46
3/12/2017,45
3/19/2017,46
3/26/2017,48
4/2/2017,46
4/9/2017,49
4/16/2017,43
4/23/2017,43
4/30/2017,44
5/7/2017,40
5/14/2017,40
5/21/2017,41
5/28/2017,38
6/4/2017,38
6/11/2017,36
6/18/2017,41
6/25/2017,36
7/2/2017,36
7/9/2017,35
7/16/2017,37
7/23/2017,36
7/30/2017,36
8/6/2017,34
8/13/2017,33
8/20/2017,33
8/27/2017,30
9/3/2017,32
9/10/2017,31
9/17/2017,36
9/24/2017,35
10/1/2017,37
10/8/2017,36
10/15/2017,39
10/22/2017,39
10/29/2017,39
11/5/2017,42
11/12/2017,44
11/19/2017,34
11/26/2017,40
12/3/2017,43
12/10/2017,39
12/17/2017,36
12/24/2017,34
12/31/2017,41
1/7/2018,44
1/14/2018,46
1/21/2018,49
1/28/2018,47
2/4/2018,49
2/11/2018,49
2/18/2018,47
2/25/2018,49
3/4/2018,47
3/11/2018,45
3/18/2018,47
3/25/2018,43
4/1/2018,46
4/8/2018,50
4/15/2018,45
4/22/2018,48
4/29/2018,43
5/6/2018,42
5/13/2018,39
5/20/2018,45
5/27/2018,36
6/3/2018,40
6/10/2018,41
6/17/2018,41
6/24/2018,41
7/1/2018,37
7/8/2018,41
7/15/2018,37
7/22/2018,36
7/29/2018,36
8/5/2018,37
8/12/2018,34
8/19/2018,37
8/26/2018,35
9/2/2018,34
9/9/2018,36
9/16/2018,36
9/23/2018,35
9/30/2018,39
10/7/2018,39
10/14/2018,40
10/21/2018,42
10/28/2018,43
11/4/2018,40
11/11/2018,42
11/18/2018,35
11/25/2018,45
12/2/2018,51
12/9/2018,40
12/16/2018,42
12/23/2018,35
12/30/2018,41
1/6/2019,47
1/13/2019,51
1/20/2019,45
1/27/2019,49
2/3/2019,47
2/10/2019,48
2/17/2019,48
2/24/2019,47
3/3/2019,46
3/10/2019,46
3/17/2019,47
3/24/2019,46
3/31/2019,44
4/7/2019,47
4/14/2019,45
4/21/2019,44
4/28/2019,45
5/5/2019,40
5/12/2019,39
5/19/2019,40
5/26/2019,39
6/2/2019,38
6/9/2019,40
6/16/2019,41
6/23/2019,40
6/30/2019,36
7/7/2019,35
7/14/2019,38
7/21/2019,35
7/28/2019,37
8/4/2019,38
8/11/2019,35
8/18/2019,38
8/25/2019,35
9/1/2019,35
9/8/2019,38
9/15/2019,38
9/22/2019,40
9/29/2019,38
10/6/2019,40
10/13/2019,36
10/20/2019,44
10/27/2019,43
11/3/2019,45
11/10/2019,40
11/17/2019,45
11/24/2019,36
12/1/2019,43
12/8/2019,42
12/15/2019,38
12/22/2019,33
12/29/2019,39
1/5/2020,46
1/12/2020,47
1/19/2020,51
1/26/2020,52
2/2/2020,51
2/9/2020,49
2/16/2020,50
2/23/2020,50
3/1/2020,52
3/8/2020,52
3/15/2020,55
3/22/2020,61
3/29/2020,48
4/5/2020,51
4/12/2020,47
4/19/2020,48
4/26/2020,52
5/3/2020,75
5/10/2020,100
5/17/2020,73
5/24/2020,55
5/31/2020,45
6/7/2020,46
6/14/2020,49
6/21/2020,48
6/28/2020,45
7/5/2020,50
7/12/2020,50
7/19/2020,49
7/26/2020,49
8/2/2020,47
8/9/2020,45
8/16/2020,46
8/23/2020,39
8/30/2020,47
9/6/2020,51
9/13/2020,54
9/20/2020,51
9/27/2020,68
10/4/2020,60
10/11/2020,59
10/18/2020,61
10/25/2020,73
11/1/2020,52
11/8/2020,63
11/15/2020,66
11/22/2020,53
11/29/2020,63
12/6/2020,60
12/13/2020,60
12/20/2020,87
12/27/2020,81
1/3/2021,76
1/10/2021,72
1/17/2021,66
1/24/2021,70
1/31/2021,67
2/7/2021,63
2/14/2021,59
2/21/2021,63
2/28/2021,56
3/7/2021,59
3/14/2021,52
3/21/2021,55
3/28/2021,58
4/4/2021,61
4/11/2021,58
4/18/2021,54
4/25/2021,52
